Player,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,Tm,Games,3PT_Volume_Eff,3PT_per_Min,FT_Volume_Eff,AST_TOV_Ratio,AST_per_Min,Defensive_Impact,Defense_per_Min,Total_Rebounding,REB_per_Min,PTS_per_FGA,PTS_per_Min,TS%,Usage_Rate
Mark Williams,25.014782608695654,6.086956521739131,10.391304347826088,0.5809130434782609,0.0,0.043478260869565216,0.0,3.391304347826087,4.3478260869565215,0.7153478260869565,3.260869565217391,6.3478260869565215,9.608695652173912,2.4782608695652173,0.6521739130434783,1.173913043478261,1.0,2.5652173913043477,15.565217391304348,15.713043478260868,CHO,23,0.0,0.0,3.110207939508506,2.2529644268774702,0.09867737691295615,1.8260869565217392,0.07270964614638875,9.608695652173912,0.3825912332940931,1.483630335681724,0.6197631742954088,0.6299489706141121,0.5297417076379751
Marvin Bagley,8.763157894736842,2.0,3.736842105263158,0.46878947368421053,0.10526315789473684,0.5263157894736842,0.03510526315789474,0.7894736842105263,1.2105263157894737,0.3026315789473684,1.4210526315789473,1.5263157894736843,2.9473684210526314,0.3684210526315789,0.3684210526315789,0.2631578947368421,0.5789473684210527,0.631578947368421,4.894736842105263,4.342105263157895,WAS,19,0.01847645429362881,0.011876484560570071,0.36634349030470914,0.5426356589147286,0.04156769596199525,0.631578947368421,0.07125890736342043,2.947368421052632,0.332541567695962,1.2757201646090535,0.5522565320665083,0.5665894967710491,0.5470308788598575
Mason Plumlee,17.7546,1.5,2.64,0.4965,0.0,0.04,0.0,0.94,1.5,0.33502000000000004,1.7,4.66,6.36,1.86,0.48,0.76,0.9,2.18,3.94,5.598,PHO,50,0.0,0.0,0.50253,1.86,0.10417483449643229,1.24,0.0694498896642882,6.36,0.35621072440715557,1.437956204379562,0.22067142361072214,0.5880597014925373,0.2352334972500084
Matas Buzelis,14.2486,2.14,5.0,0.37256,0.88,2.42,0.29,0.8,1.0,0.37334,0.64,2.2,2.84,0.44,0.26,0.88,0.58,1.46,5.96,4.364,CHI,50,0.7018,0.0613300252289422,0.37334,0.6470588235294118,0.0306650126144711,1.1400000000000001,0.07945025995567513,2.8400000000000003,0.19792871778431345,1.1686274509803922,0.41537153450510855,0.5428051001821493,0.4195531271343546
Matt Ryan,3.639411764705882,0.5294117647058824,1.588235294117647,0.17058823529411765,0.29411764705882354,0.9411764705882353,0.11176470588235293,0.11764705882352941,0.11764705882352941,0.058823529411764705,0.0,0.4117647058823529,0.4117647058823529,0.058823529411764705,0.11764705882352941,0.0,0.17647058823529413,0.058823529411764705,1.4705882352941178,0.6529411764705882,NYK,17,0.10519031141868511,0.07865345288658172,0.006920415224913495,0.21276595744680848,0.015730690577316346,0.11764705882352941,0.03146138115463269,0.4117647058823529,0.1101148340412144,0.8710801393728224,0.39326726443290866,0.435085276714236,0.48576372502752874
Max Christie,25.328541666666666,2.8958333333333335,6.4375,0.4698541666666667,1.3333333333333333,3.5416666666666665,0.3714166666666667,1.625,1.9583333333333333,0.5170208333333334,0.6041666666666666,2.2708333333333335,2.875,1.5208333333333333,0.75,0.4583333333333333,0.8541666666666666,1.5833333333333333,8.75,7.020833333333333,LAL,48,1.3154340277777778,0.052434518298827594,1.0124991319444445,1.5938864628820961,0.05980812243460022,1.2083333333333333,0.0475187822083125,2.875,0.113061930081847,1.338432122370937,0.3441015263360561,0.5953055902029709,0.3206370793973307
Max Strus,24.817916666666665,3.0416666666666665,7.125,0.4167083333333334,2.125,5.625,0.34883333333333333,0.2916666666666667,0.375,0.16666666666666666,0.8333333333333334,3.5,4.333333333333333,2.9583333333333335,0.625,0.375,1.0,2.0,8.5,7.4875,CLE,24,1.9621875,0.08528000267545106,0.0625,2.6893939393939394,0.11872314097954953,1.0,0.040131765964918145,4.333333333333333,0.17390431918131197,1.1764705882352942,0.34112001070180425,0.5790190735694823,0.3326923398491714
Maxi Kleber,18.72764705882353,1.088235294117647,2.823529411764706,0.3217058823529412,0.38235294117647056,1.4411764705882353,0.21273529411764705,0.47058823529411764,0.6176470588235294,0.19117647058823528,0.7352941176470589,2.0588235294117645,2.7941176470588234,1.2647058823529411,0.2647058823529412,0.5,0.6764705882352942,1.9411764705882353,3.0294117647058822,2.6088235294117648,DAL,34,0.30658910034602077,0.020308057612397287,0.1180795847750865,1.6287878787878787,0.06717280594869872,0.7647058823529411,0.04061611522479457,2.7941176470588234,0.14840503639828787,1.0362173038229374,0.1609023026213016,0.4815784552085281,0.2003311775549099
Micah Potter,17.28590909090909,1.2727272727272727,3.1363636363636362,0.4011818181818182,0.9090909090909091,2.5,0.322,0.2727272727272727,0.3181818181818182,0.125,1.0454545454545454,2.772727272727273,3.8181818181818183,0.7272727272727273,0.22727272727272727,0.4090909090909091,0.6363636363636364,1.2727272727272727,3.727272727272727,3.463636363636364,UTA,22,0.805,0.052288948730685764,0.03977272727272727,0.9876543209876544,0.041831158984548616,0.6363636363636364,0.036602264111480036,3.8181818181818183,0.21961358466888023,1.151685393258427,0.21438468979581163,0.5602623667668762,0.22505163533687153
Michael Porter,34.38933333333333,7.133333333333334,13.666666666666666,0.5213,2.5,6.1,0.4105333333333333,1.8666666666666667,2.6666666666666665,0.6376666666666666,1.5,5.1,6.6,2.7,0.7333333333333333,0.4,1.5,2.1666666666666665,18.633333333333333,14.716666666666667,DEN,30,2.504253333333333,0.07248617930181311,1.7004444444444442,1.6875,0.07828507364595817,1.1333333333333333,0.03286040128348861,6.6,0.1913635133567866,1.3535108958837774,0.5402636563961805,0.6256995746586075,0.47376966791665054
Michael Porter Jr.,31.757272727272724,7.2272727272727275,13.772727272727273,0.5158636363636364,2.909090909090909,6.818181818181818,0.42204545454545456,2.0454545454545454,2.5454545454545454,0.6073636363636363,2.0454545454545454,4.409090909090909,6.454545454545454,1.4545454545454546,0.5,0.5909090909090909,1.1818181818181819,1.4090909090909092,19.40909090909091,15.4,DEN,22,2.877582644628099,0.09131638272978912,1.5460165289256198,1.1347517730496453,0.04565819136489456,1.0909090909090908,0.034243643523670916,6.454545454545455,0.2026082241817196,1.3990825688073394,0.6092514910253118,0.6494494129098984,0.504580087321291
