Player,Tm,Games,PTS,TRB,AST,Cluster
Zeke Nnaji,DEN,31,1.870967741935484,1.032258064516129,0.1290322580645161,0
Anthony Gill,WAS,36,1.8333333333333333,0.8055555555555556,0.1944444444444444,0
Ariel Hukporti,NYK,19,1.7894736842105263,1.8421052631578947,0.4210526315789473,0
Jaden Springer,BOS,26,1.7307692307692308,0.9230769230769232,0.3846153846153846,0
Enrique Freeman,IND,19,1.6842105263157894,1.0,0.4210526315789473,0
Tristan Thompson,CLE,26,1.6538461538461535,2.9615384615384617,0.6923076923076923,0
Jericho Sims,NYK,39,1.641025641025641,3.3076923076923075,0.5641025641025641,0
Jordan Walsh,BOS,35,1.6,1.1428571428571428,0.3142857142857143,0
Keshad Johnson,MIA,10,1.6,1.7,0.3,0
Alex Ducas,OKC,13,1.5384615384615383,1.0,0.0769230769230769,0
Jazian Gortman,DAL,16,1.5,0.3125,0.375,0
Terrence Shannon,MIN,10,1.5,0.2,0.5,0
Dwight Powell,DAL,33,1.4848484848484849,1.7878787878787878,0.696969696969697,0
Matt Ryan,NYK,17,1.4705882352941178,0.4117647058823529,0.0588235294117647,0
Pacome Dadiet,NYK,13,1.4615384615384617,1.0,0.3846153846153846,0
Alex Len,SAC,36,1.4444444444444444,1.7777777777777777,0.8333333333333334,0
Colin Castleton,MEM,10,1.4,0.9,0.0,0
Kessler Edwards,DAL,22,1.318181818181818,1.7272727272727273,0.5909090909090909,0
Sidy Cissoko,SAS,17,1.2941176470588236,0.5882352941176471,0.3529411764705882,0
Adam Flagler,OKC,19,1.263157894736842,0.4210526315789473,0.0,0
Yuki Kawamura,MEM,19,1.263157894736842,0.3684210526315789,0.7368421052631579,0
Xavier Tillman,BOS,20,1.15,1.7,0.3,0
Colby Jones,SAC,24,1.0833333333333333,0.9583333333333334,0.2916666666666667,0
Chris Livingston,MIL,13,1.0769230769230769,1.5384615384615383,0.0769230769230769,0
PJ Hall,DEN,12,0.9166666666666666,1.0833333333333333,0.1666666666666666,0
Bronny James,LAL,16,0.875,0.4375,0.4375,0
Trey Alexander,DEN,16,0.875,0.25,0.375,0
Joe Ingles,MIN,12,0.8333333333333334,0.3333333333333333,1.0833333333333333,0
James Johnson,IND,10,0.8,0.5,0.4,0
Liam Robbins,MIL,13,0.6923076923076923,0.9230769230769232,0.1538461538461538,0
Garrett Temple,TOR,17,0.6470588235294118,0.5882352941176471,0.6470588235294118,0
Stanley Umude,MIL,19,0.631578947368421,0.7368421052631579,0.1052631578947368,0
Jacob Toppin,NYK,16,0.375,0.6875,0.25,0
Mikal Bridges,NYK,51,18.19607843137255,3.0980392156862746,3.2549019607843137,1
Shaedon Sharpe,POR,44,17.386363636363637,3.8181818181818175,2.386363636363636,1
Bradley Beal,PHO,37,17.35135135135135,3.3783783783783785,3.4324324324324325,1
Malik Beasley,DET,52,16.403846153846153,2.8846153846153846,1.807692307692308,1
OG Anunoby,NYK,49,16.367346938775512,4.714285714285714,2.020408163265306,1
Kawhi Leonard,LAC,13,16.153846153846153,4.538461538461538,2.5384615384615383,1
Devin Vassell,SAS,34,16.147058823529413,3.6176470588235294,3.0,1
Derrick White,BOS,49,16.102040816326532,4.204081632653061,4.142857142857143,1
Gradey Dick,TOR,45,15.622222222222222,3.422222222222222,1.9333333333333331,1
Jared McCain,PHI,23,15.304347826086955,2.4347826086956523,2.608695652173913,1
Kyle Kuzma,WAS,33,15.090909090909092,5.818181818181818,2.4242424242424243,1
Jerami Grant,POR,40,14.7,3.325,2.225,1
Fred VanVleet,HOU,45,14.622222222222222,3.888888888888889,5.8,1
Christian Braun,DEN,51,14.607843137254902,4.96078431372549,2.0588235294117645,1
Dennis Schröder,BRK,47,14.425531914893616,2.6382978723404253,5.468085106382978,1
Immanuel Quickley,TOR,13,14.307692307692308,2.230769230769231,6.0,1
Tre Mann,CHO,13,14.076923076923077,2.923076923076923,3.0,1
Naz Reid,MIN,51,14.0,5.235294117647059,1.9019607843137252,1
Payton Pritchard,BOS,51,13.862745098039216,3.6666666666666665,3.431372549019608,1
Dyson Daniels,ATL,47,13.829787234042554,5.382978723404255,3.9574468085106393,1
Bobby Portis,MIL,44,13.704545454545457,8.318181818181818,2.159090909090909,1
Klay Thompson,DAL,45,13.688888888888888,3.4444444444444446,2.0444444444444443,1
Dillon Brooks,HOU,48,13.583333333333334,3.7916666666666665,1.4791666666666667,1
Tobias Harris,DET,50,13.16,6.02,2.36,1
Malcolm Brogdon,WAS,21,13.095238095238097,3.952380952380953,3.952380952380953,1
